Fecha,Torneo,Comienzo,Finalización,Equipo,Rival,Estadio,Goles Convertidos,Goles Recibidos,Resultado,Conclusión,Apariciones,DT,Comentarios,Foto,,,,,,,,,,,,,
09/09/2023,Liga,10:00,11:30,Ministros,La Cocina,Club Social Y Deportivo Pintita,0,4,0-4,P,TRUE,Juan Pablo Garnero,,,,,,,,,,,,,,,2023/09/09
16/09/2023,Liga,8:00,9:30,Ministros,Trabajo y Prev,Club Social Y Deportivo Pintita,1,4,1-4,P,TRUE,Juan Pablo Garnero,,,,,,,,,,,,,,,2023/09/09
23/09/2023,Liga,11:30,13:00,Ministros,Leones,Club Social Y Deportivo Pintita,0,1,0-1,P,TRUE,Juan Pablo Garnero,,,,,,,,,,,,,,,2023/09/09
30/09/2023,Liga,10:00,11:30,Ministros,Estrella Roja,Club Social Y Deportivo Pintita,0,3,0-3,P,TRUE,Juan Pablo Garnero,Eramos 11 justos,,,,,,,,,,,,,,2023/09/09
07/10/2023,Liga,11:30,13:00,Ministros,Automotores,Club Social Y Deportivo Pintita,0,0,0-0,E,TRUE,Juan Pablo Garnero,,,,,,,,,,,,,,,2023/09/09
21/10/2023,Liga,11:30,13:00,Ministros,La Escuela,Club Social Y Deportivo Pintita,1,1,1-1,E,TRUE,Juan Pablo Garnero,,,,,,,,,,,,,,,2023/09/09
28/10/2023,Liga,10:00,11:30,Ministros,Colón,Club Social Y Deportivo Pintita,3,3,3-3,E,TRUE,Juan Pablo Garnero,,,,,,,,,,,,,,,2023/09/09
18/11/2023,Liga,10:00,11:30,Ministros,Espinosa,Club Social Y Deportivo Pintita,3,2,3-2,G,TRUE,Juan Pablo Garnero,,,,,,,,,,,,,,,2023/09/09
25/11/2023,Liga,11:30,13:00,Ministros,Playa Brava,Club Social Y Deportivo Pintita,1,2,1-2,P,TRUE,Juan Pablo Garnero,,,,,,,,,,,,,,,2023/09/09
06/04/2024,Torneo Apertura,10:00,11:30,Ministros,Union F.C.,Club Social Y Deportivo Pintita,3,1,3-1,G,TRUE,Juan Pablo Garnero,,,,,,,,,,,,,,,2023/09/09
